City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kodiak,57.79,-152.4072,7.54,89,100,11.8,US,1697432460
83,eraan,9.0629,117.7016,28.95,72,100,4.37,PH,1697432460
84,pisco,-13.7,-76.2167,19.03,82,0,2.57,PE,1697432460
85,tura,25.5198,90.2201,26.84,63,5,2.37,IN,1697432461
86,weno,7.4515,151.8468,28.76,74,47,3.34,FM,1697432462
87,tiksi,71.6872,128.8694,-7.63,88,100,7.72,RU,1697432462
88,iqaluit,63.7506,-68.5145,-5.15,85,100,7.2,CA,1697432463
89,al kharijah,25.4514,30.5464,21.22,40,0,3.07,EG,1697432463
90,longyearbyen,78.2186,15.6401,-3.09,68,40,9.26,SJ,1697432463
91,aketi,2.7388,23.7833,21.58,100,100,0.3,CD,1697432464
92,bilibino,68.0546,166.4372,-10.58,96,81,1.45,RU,1697432464
93,mejit,10.2753,170.8646,28.43,74,69,5.49,MH,1697432464
94,jamestown,42.097,-79.2353,7.62,98,100,2.57,US,1697432410
95,puerto ayora,-0.7393,-90.3518,24.19,91,44,0.45,EC,1697432455
96,barjala,23.6167,91.3667,30.92,66,0,1.71,IN,1697432465
97,idri,27.5,13.2667,19.24,27,0,0.77,LY,1697432466
98,paphos,34.7667,32.4167,22.88,88,75,2.06,CY,1697432467
99,yigo village,13.5361,144.8886,30.18,73,0,3.6,GU,1697432467
100,tegueste,28.5167,-16.3167,25.64,27,100,2.57,ES,1697432467
101,i-n-salah,27.1935,2.4607,25.57,30,83,5.59,DZ,1697432468
102,whitehorse,60.7161,-135.0538,6.43,80,0,5.14,CA,1697432468
103,carhuaz,-9.2819,-77.6447,14.75,82,69,1.65,PE,1697432468
104,taltal,-25.4,-70.4833,14.96,83,84,0.41,CL,1697432461
105,ribeira grande,38.5167,-28.7,20.99,85,45,4.02,PT,1697432469
106,el charco,2.4769,-78.1105,24.05,95,100,1.38,CO,1697432470
107,balnearia,-31.0088,-62.6673,22.5,41,100,3.3,AR,1697432341
108,bangar,16.8936,120.4243,30.05,71,76,2.09,PH,1697432470
109,fitzgerald,31.7149,-83.2526,14.79,88,100,2.06,US,1697432471
110,sandnessjoen,66.0217,12.6316,6.06,70,40,6.69,NO,1697432471
111,sevastopol,44.6,33.5333,17.78,59,12,4.02,UA,1697432470
112,abomsa,9.9833,39.9833,25.36,30,14,1.3,ET,1697432472
113,college,64.8569,-147.8028,4.33,86,0,0.0,US,1697432472
114,west island,-12.1568,96.8225,27.99,69,40,5.66,CC,1697432472
115,enewetak,11.3474,162.3373,28.73,77,100,5.14,MH,1697432473
116,vernon,50.2581,-119.2691,14.05,77,100,3.6,CA,1697432401
117,flying fish cove,-10.4217,105.6791,27.82,83,100,5.66,CX,1697432473
118,ta`u,-14.2336,-169.5144,26.46,77,53,9.63,AS,1697432474
119,oppdal,62.5943,9.6912,-6.87,95,69,3.08,NO,1697432474
120,bredasdorp,-34.5322,20.0403,15.28,95,48,2.24,ZA,1697432474
121,miandrivazo,-19.5167,45.4667,29.01,59,11,1.05,MG,1697432475
122,thompson,55.7435,-97.8558,1.09,100,0,0.0,CA,1697432475
123,port elizabeth,-33.918,25.5701,17.4,95,75,6.17,ZA,1697432475
124,tobelo,1.7284,128.0095,29.9,69,32,3.16,ID,1697432475
125,port alfred,-33.5906,26.891,17.32,92,100,2.24,ZA,1697432476
126,brandon,27.9378,-82.2859,22.92,72,75,3.13,US,1697432476
127,sorong,-0.8833,131.25,28.18,78,83,2.55,ID,1697432476
128,berezovyy,51.6667,135.7,1.64,94,100,3.18,RU,1697432477
129,murun-kuren,49.6342,100.1625,7.4,33,41,10.73,MN,1697432477
130,kruisfontein,-34.0033,24.7314,15.44,91,88,4.44,ZA,1697432477
131,petukhovo,55.0692,67.9019,10.95,72,99,6.66,RU,1697432477
132,hadibu,12.65,54.0333,27.5,69,99,0.13,YE,1697432478
133,dryden,49.7833,-92.7503,2.16,100,0,0.0,CA,1697432478
134,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,88,75,4.0,RU,1697432478
135,atafu village,-8.5421,-172.5159,28.15,78,89,7.73,TK,1697432479
136,kegeyli shahar,42.7767,59.6078,10.05,32,0,6.79,UZ,1697432479
137,polyarnyy,69.1989,33.4478,4.99,89,98,12.2,RU,1697432479
138,dudinka,69.4058,86.1778,-6.85,91,34,3.58,RU,1697432480
139,iskateley,67.6803,53.1512,0.57,87,96,8.94,RU,1697432480
